,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,Cleveland Browns,L 24–26,0–1,Bank of America Stadium,Recap,Carolina Panthers,"Cloudy, 80 °F (27 °C)",1:00 p.m. EDT,"Bank of America Stadium, Charlotte, North Carolina"
1,2,September 18,at New York Giants,L 16–19,0–2,MetLife Stadium,Recap,Carolina Panthers,"Fair, 73 °F (23 °C)",1:00 p.m. EDT,"MetLife Stadium, East Rutherford, New Jersey"
2,3,September 25,New Orleans Saints,W 22–14,1–2,Bank of America Stadium,Recap,Carolina Panthers,"Partly cloudy, 68 °F (20 °C)",1:00 p.m. EDT,"Bank of America Stadium, Charlotte, North Carolina"
3,4,October 2,Arizona Cardinals,L 16–26,1–3,Bank of America Stadium,Recap,Carolina Panthers,"Mostly cloudy, 65 °F (18 °C)",4:05 p.m. EDT,"Bank of America Stadium, Charlotte, North Carolina"
4,5,October 9,San Francisco 49ers,L 15–37,1–4,Bank of America Stadium,Recap,Carolina Panthers,"Sunny, 68 °F (20 °C)",4:05 p.m. EDT,"Bank of America Stadium, Charlotte, North Carolina"
5,6,October 16,at Los Angeles Rams,L 10–24,1–5,SoFi Stadium,Recap,Carolina Panthers,"Cloudy, 72 °F (22 °C)",4:05 p.m. EDT/1:05 p.m. PDT,"SoFi Stadium, Inglewood, California"
6,7,October 23,Tampa Bay Buccaneers,W 21–3,2–5,Bank of America Stadium,Recap,Carolina Panthers,"Sunny, 67 °F (19 °C)",1:00 p.m. EDT,"Bank of America Stadium, Charlotte, North Carolina"
7,8,October 30,at Atlanta Falcons,L 34–37 (OT),2–6,Mercedes-Benz Stadium,Recap,Carolina Panthers,None (retractable roof closed),1:00 p.m. EDT,"Mercedes-Benz Stadium, Atlanta, Georgia"
8,9,November 6,at Cincinnati Bengals,L 21–42,2–7,Paycor Stadium,Recap,Carolina Panthers,"Sunny, 70 °F (21 °C)",1:00 p.m. EST,"Paycor Stadium, Cincinnati, Ohio"
9,10,November 10,Atlanta Falcons,W 25–15,3–7,Bank of America Stadium,Recap,Carolina Panthers,"Light rain, 60 °F (16 °C)",8:15 p.m. EST,"Bank of America Stadium, Charlotte, North Carolina"
10,11,November 20,at Baltimore Ravens,L 3–13,3–8,M&T Bank Stadium,Recap,Carolina Panthers,"Sunny, 36 °F (2 °C)",1:00 p.m. EST,"M&T Bank Stadium, Baltimore, Maryland"
11,12,November 27,Denver Broncos,W 23–10,4–8,Bank of America Stadium,Recap,Carolina Panthers,"Cloudy, 65 °F (18 °C)",1:00 p.m. EST,"Bank of America Stadium, Charlotte, North Carolina"
12,13,Bye,Bye,Bye,Bye,Bye,Bye,Carolina Panthers,,,
13,14,December 11,at Seattle Seahawks,W 30–24,5–8,Lumen Field,Recap,Carolina Panthers,"Cloudy, 45 °F (7 °C)",4:25 p.m. EST/1:25 p.m. PST,"Lumen Field, Seattle, Washington"
14,15,December 18,Pittsburgh Steelers,L 16–24,5–9,Bank of America Stadium,Recap,Carolina Panthers,"Sunny, 46 °F (8 °C)",1:00 p.m. EST,"Bank of America Stadium, Charlotte, North Carolina"
15,16,December 24,Detroit Lions,W 37–23,6–9,Bank of America Stadium,Recap,Carolina Panthers,"Sunny, 20 °F (−7 °C)",1:00 p.m. EST,"Bank of America Stadium, Charlotte, North Carolina"
16,17,January 1,at Tampa Bay Buccaneers,L 24–30,6–10,Raymond James Stadium,Recap,Carolina Panthers,"Cloudy, 73 °F (23 °C)",1:00 p.m. EST,"Raymond James Stadium, Tampa, Florida"
17,18,January 8,at New Orleans Saints,W 10–7,7–10,Caesars Superdome,Recap,Carolina Panthers,None (indoor stadium),1:00 p.m. EST/12:00 p.m. CST,"Caesars Superdome, New Orleans, Louisiana"
