,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,Tampa Bay Buccaneers,L 3–19,0–1,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),7:20 p.m. CDT,"AT&T Stadium, Arlington, Texas"
1,2,September 18,Cincinnati Bengals,W 20–17,1–1,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),3:25 p.m. CDT,"AT&T Stadium, Arlington, Texas"
2,3,September 26,at New York Giants,W 23–16,2–1,MetLife Stadium,Recap,Dallas Cowboys,"Fair, 66 °F (19 °C)",8:15 p.m. EDT/7:15 p.m. CDT,"MetLife Stadium, East Rutherford, New Jersey"
3,4,October 2,Washington Commanders,W 25–10,3–1,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),12:00 p.m. CDT,"AT&T Stadium, Arlington, Texas"
4,5,October 9,at Los Angeles Rams,W 22–10,4–1,SoFi Stadium,Recap,Dallas Cowboys,"Sunny, 74 °F (23 °C)",3:25 p.m. CDT/1:25 p.m. PDT,"SoFi Stadium, Inglewood, California"
5,6,October 16,at Philadelphia Eagles,L 17–26,4–2,Lincoln Financial Field,Recap,Dallas Cowboys,"Clear, 63 °F (17 °C)",8:20 p.m. EDT/7:20 p.m. CDT,"Lincoln Financial Field, Philadelphia, Pennsylvania"
6,7,October 23,Detroit Lions,W 24–6,5–2,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),12:00 p.m. CDT,"AT&T Stadium, Arlington, Texas"
7,8,October 30,Chicago Bears,W 49–29,6–2,AT&T Stadium,Recap,Dallas Cowboys,66 °F (19 °C) (retractable roof open),12:00 p.m. CDT,"AT&T Stadium, Arlington, Texas"
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Dallas Cowboys,,,
9,10,November 13,at Green Bay Packers,L 28–31 (OT),6–3,Lambeau Field,Recap,Dallas Cowboys,"Cloudy, 33 °F (1 °C)",3:25 p.m. CST,"Lambeau Field, Green Bay, Wisconsin"
10,11,November 20,at Minnesota Vikings,W 40–3,7–3,U.S. Bank Stadium,Recap,Dallas Cowboys,None (indoor stadium),3:25 p.m. CST,"U.S. Bank Stadium, Minneapolis, Minnesota"
11,12,November 24,New York Giants,W 28–20,8–3,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),3:30 p.m. CST,"AT&T Stadium, Arlington, Texas"
12,13,December 4,Indianapolis Colts,W 54–19,9–3,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),7:20 p.m. CST,"AT&T Stadium, Arlington, Texas"
13,14,December 11,Houston Texans,W 27–23,10–3,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),12:00 p.m. CST,"AT&T Stadium, Arlington, Texas"
14,15,December 18,at Jacksonville Jaguars,L 34–40 (OT),10–4,TIAA Bank Field,Recap,Dallas Cowboys,"Sunny, 51 °F (11 °C)",1:00 p.m. EST/12:00 p.m. CST,"TIAA Bank Field, Jacksonville, Florida"
15,16,December 24,Philadelphia Eagles,W 40–34,11–4,AT&T Stadium,Recap,Dallas Cowboys,None (retractable roof closed),3:25 p.m. CST,"AT&T Stadium, Arlington, Texas"
16,17,December 29,at Tennessee Titans,W 27–13,12–4,Nissan Stadium,Recap,Dallas Cowboys,"Rain, 59 °F (15 °C)",7:15 p.m. CST,"Nissan Stadium, Nashville, Tennessee"
17,18,January 8,at Washington Commanders,L 6–26,12–5,FedExField,Recap,Dallas Cowboys,"Cloudy, 42 °F (6 °C)",4:25 p.m. EST/3:25 p.m. CST,"FedExField, Landover, Maryland"
