,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 12,at Seattle Seahawks,L 16–17,0–1,Lumen Field,Recap,Denver Broncos,"Sunny, 74 °F (23 °C)",6:15 p.m. MDT/5:15 p.m. PDT,"Lumen Field, Seattle, Washington"
1,2,September 18,Houston Texans,W 16–9,1–1,Empower Field at Mile High,Recap,Denver Broncos,"Sunny, 77 °F (25 °C)",2:25 p.m. MDT,"Empower Field Mile High, Denver, Colorado"
2,3,September 25,San Francisco 49ers,W 11–10,2–1,Empower Field at Mile High,Recap,Denver Broncos,"Clear, 73 °F (23 °C)",6:20 p.m. MDT,"Empower Field Mile High, Denver, Colorado"
3,4,October 2,at Las Vegas Raiders,L 23–32,2–2,Allegiant Stadium,Recap,Denver Broncos,None (indoor stadium),2:25 p.m. MDT/1:25 p.m. PDT,"Allegiant Stadium, Paradise, Nevada"
4,5,October 6,Indianapolis Colts,L 9–12 (OT),2–3,Empower Field at Mile High,Recap,Denver Broncos,"Partly cloudy, 69 °F (21 °C)",6:15 p.m. MDT,"Empower Field Mile High, Denver, Colorado"
5,6,October 17,at Los Angeles Chargers,L 16–19 (OT),2–4,SoFi Stadium,Recap,Denver Broncos,None (retractable roof closed),6:15 p.m. MDT/5:15 p.m. PDT,"SoFi Stadium, Inglewood, California"
6,7,October 23,New York Jets,L 9–16,2–5,Empower Field at Mile High,Recap,Denver Broncos,64 °F (18 °C),2:05 p.m. MDT,"Empower Field Mile High, Denver, Colorado"
7,8,October 30,at Jacksonville Jaguars,W 21–17,3–5,Wembley Stadium (London),Recap,Denver Broncos,"Mostly cloudy, 61 °F (16 °C)",1:30 p.m. GMT/7:30 a.m. MDT,"Wembley Stadium, London, England"
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Denver Broncos,,,
9,10,November 13,at Tennessee Titans,L 10–17,3–6,Nissan Stadium,Recap,Denver Broncos,"Cloudy, 35 °F (2 °C)",12:00 p.m. CST/11:00 a.m. MST,"Nissan Stadium, Nashville, Tennessee"
10,11,November 20,Las Vegas Raiders,L 16–22 (OT),3–7,Empower Field at Mile High,Recap,Denver Broncos,"Sunny, 46 °F (8 °C)",2:05 p.m. MST,"Empower Field Mile High, Denver, Colorado"
11,12,November 27,at Carolina Panthers,L 10–23,3–8,Bank of America Stadium,Recap,Denver Broncos,"Cloudy, 65 °F (18 °C)",1:00 p.m. EST/11:00 a.m. MST,"Bank of America Stadium, Charlotte, North Carolina"
12,13,December 4,at Baltimore Ravens,L 9–10,3–9,M&T Bank Stadium,Recap,Denver Broncos,"Clear, 43 °F (6 °C)",1:00 p.m. EST/11:00 a.m. MST,"M&T Bank Stadium, Baltimore, Maryland"
13,14,December 11,Kansas City Chiefs,L 28–34,3–10,Empower Field at Mile High,Recap,Denver Broncos,"Sunny, 62 °F (17 °C)",2:05 p.m. MST,"Empower Field Mile High, Denver, Colorado"
14,15,December 18,Arizona Cardinals,W 24–15,4–10,Empower Field at Mile High,Recap,Denver Broncos,"Partly cloudy, 39 °F (4 °C)",2:05 p.m. MST,"Empower Field Mile High, Denver, Colorado"
15,16,December 25,at Los Angeles Rams,L 14–51,4–11,SoFi Stadium,Recap,Denver Broncos,"Sunny, 82 °F (28 °C)",2:30 p.m. MST/1:30 p.m. PST,"SoFi Stadium, Inglewood, California"
16,17,January 1,at Kansas City Chiefs,L 24–27,4–12,Arrowhead Stadium,Recap,Denver Broncos,,,
17,18,January 8,Los Angeles Chargers,W 31–28,5–12,Empower Field at Mile High,Recap,Denver Broncos,"Partly cloudy, 51 °F (11 °C)",2:25 p.m. MST,"Empower Field Mile High, Denver, Colorado"
