,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state
0,1,September 11,Indianapolis Colts,T 20–20 (OT),0–0–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,12:0,Houston,Texas
1,2,September 18,at Denver Broncos,L 9–16,0–1–1,Empower Field at Mile High,Recap,Houston Texans,Sunny,77,15:25,Denver,Colorado
2,3,September 25,at Chicago Bears,L 20–23,0–2–1,Soldier Field,Recap,Houston Texans,Cloudy,66,12:0,Chicago,Illinois
3,4,October 2,Los Angeles Chargers,L 24–34,0–3–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,12:0,Houston,Texas
4,5,October 9,at Jacksonville Jaguars,W 13–6,1–3–1,TIAA Bank Field,Recap,Houston Texans,Partly cloudy and sunny,80,12:0,Jacksonville,Florida
5,6,Bye,Bye,Bye,Bye,Bye,Bye,Houston Texans,,,,,
6,7,October 23,at Las Vegas Raiders,L 20–38,1–4–1,Allegiant Stadium,Recap,Houston Texans,None (indoor stadium),72,15:5,Paradise,Nevada
7,8,October 30,Tennessee Titans,L 10–17,1–5–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,15:5,Houston,Texas
8,9,November 3,Philadelphia Eagles,L 17–29,1–6–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,19:15,Houston,Texas
9,10,November 13,at New York Giants,L 16–24,1–7–1,MetLife Stadium,Recap,Houston Texans,Partly sunny,50,13:0,East Rutherford,New Jersey
10,11,November 20,Washington Commanders,L 10–23,1–8–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:0,Houston,Texas
11,12,November 27,at Miami Dolphins,L 15–30,1–9–1,Hard Rock Stadium,Recap,Houston Texans,Partly cloudy,87,13:0,Miami Gardens,Florida
12,13,December 4,Cleveland Browns,L 14–27,1–10–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:0,Houston,Texas
13,14,December 11,at Dallas Cowboys,L 23–27,1–11–1,AT&T Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:0,Arlington,Texas
14,15,December 18,Kansas City Chiefs,L 24–30 (OT),1–12–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:0,Houston,Texas
15,16,December 24,at Tennessee Titans,W 19–14,2–12–1,Nissan Stadium,Recap,Houston Texans,Clear,20,14:0,Nashville,Tennessee
16,17,January 1,Jacksonville Jaguars,L 3–31,2–13–1,NRG Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:0,Houston,Texas
17,18,January 8,at Indianapolis Colts,W 32–31,3–13–1,Lucas Oil Stadium,Recap,Houston Texans,None (retractable roof closed),72,13:0,Indianapolis,Indiana
