,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state
0,1,September 11,at Houston Texans,T 20–20 (OT),0–0–1,NRG Stadium,Recap,Indianapolis Colts,None (retractable roof closed),72,12:0,Houston,Texas
1,2,September 18,at Jacksonville Jaguars,L 0–24,0–1–1,TIAA Bank Field,Recap,Indianapolis Colts,Cloudy,78,12:0,Jacksonville,Florida
2,3,September 25,Kansas City Chiefs,W 20–17,1–1–1,Lucas Oil Stadium,Recap,Indianapolis Colts,Cloudy,65,12:0,Indianapolis,Indiana
3,4,October 2,Tennessee Titans,L 17–24,1–2–1,Lucas Oil Stadium,Recap,Indianapolis Colts,Sunny,63,12:0,Indianapolis,Indiana
4,5,October 6,at Denver Broncos,W 12–9 (OT),2–2–1,Empower Field at Mile High,Recap,Indianapolis Colts,Partly cloudy,69,19:15,Denver,Colorado
5,6,October 16,Jacksonville Jaguars,W 34–27,3–2–1,Lucas Oil Stadium,Recap,Indianapolis Colts,Sunny,62,12:0,Indianapolis,Indiana
6,7,October 23,at Tennessee Titans,L 10–19,3–3–1,Nissan Stadium,Recap,Indianapolis Colts,Sunny,74,12:0,Nashville,Tennessee
7,8,October 30,Washington Commanders,L 16–17,3–4–1,Lucas Oil Stadium,Recap,Indianapolis Colts,None (retractable roof closed),72,15:25,Indianapolis,Indiana
8,9,November 6,at New England Patriots,L 3–26,3–5–1,Gillette Stadium,Recap,Indianapolis Colts,Mostly cloudy,75,13:0,Foxborough,Massachusetts
9,10,November 13,at Las Vegas Raiders,W 25–20,4–5–1,Allegiant Stadium,Recap,Indianapolis Colts,None (indoor stadium),72,16:5,Paradise,Nevada
10,11,November 20,Philadelphia Eagles,L 16–17,4–6–1,Lucas Oil Stadium,Recap,Indianapolis Colts,None (retractable roof closed),72,13:0,Indianapolis,Indiana
11,12,November 28,Pittsburgh Steelers,L 17–24,4–7–1,Lucas Oil Stadium,Recap,Indianapolis Colts,None (retractable roof closed),72,20:15,Indianapolis,Indiana
12,13,December 4,at Dallas Cowboys,L 19–54,4–8–1,AT&T Stadium,Recap,Indianapolis Colts,None (retractable roof closed),72,20:20,Arlington,Texas
13,14,Bye,Bye,Bye,Bye,Bye,Bye,Indianapolis Colts,,,,,
14,15,December 17,at Minnesota Vikings,L 36–39 (OT),4–9–1,U.S. Bank Stadium,Recap,Indianapolis Colts,None (indoor stadium),72,13:0,Minneapolis,Minnesota
15,16,December 26,Los Angeles Chargers,L 3–20,4–10–1,Lucas Oil Stadium,Recap,Indianapolis Colts,None (retractable roof closed),72,20:15,Indianapolis,Indiana
16,17,January 1,at New York Giants,L 10–38,4–11–1,MetLife Stadium,Recap,Indianapolis Colts,Fair,53,13:0,East Rutherford,New Jersey
17,18,January 8,Houston Texans,L 31–32,4–12–1,Lucas Oil Stadium,Recap,Indianapolis Colts,None (retractable roof closed),72,13:0,Indianapolis,Indiana
