,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,at Arizona Cardinals,W 44–21,1–0,State Farm Stadium,Recap,Kansas City Chiefs,None (retractable roof closed),3:25 p.m. CDT/1:25 p.m. MST[A],"State Farm Stadium, Glendale, Arizona"
1,2,September 15,Los Angeles Chargers,W 27–24,2–0,Arrowhead Stadium,Recap,Kansas City Chiefs,81 °F (27 °C),7:15 p.m. CDT,"Arrowhead Stadium, Kansas City, Missouri"
2,3,September 25,at Indianapolis Colts,L 17–20,2–1,Lucas Oil Stadium,Recap,Kansas City Chiefs,"Cloudy, 65 °F (18 °C) (retractable roof open)",12:00 p.m. CDT/1:00 p.m. EDT,"Lucas Oil Stadium, Indianapolis, Indiana"
3,4,October 2,at Tampa Bay Buccaneers,W 41–31,3–1,Raymond James Stadium,Recap,Kansas City Chiefs,"Clear, 75 °F (24 °C)",7:20 p.m. CDT/8:20 p.m. EDT,"Raymond James Stadium, Tampa, Florida"
4,5,October 10,Las Vegas Raiders,W 30–29,4–1,Arrowhead Stadium,Recap,Kansas City Chiefs,"Cloudy, 77 °F (25 °C)",7:15 p.m. CDT,"Arrowhead Stadium, Kansas City, Missouri"
5,6,October 16,Buffalo Bills,L 20–24,4–2,Arrowhead Stadium,Recap,Kansas City Chiefs,62 °F (17 °C),3:25 p.m. CDT,"Arrowhead Stadium, Kansas City, Missouri"
6,7,October 23,at San Francisco 49ers,W 44–23,5–2,Levi's Stadium,Recap,Kansas City Chiefs,"Clear, sunny, 64 °F (18 °C)",3:25 p.m. CDT/1:25 p.m. PDT,"Levi's Stadium, Santa Clara, California"
7,8,Bye,Bye,Bye,Bye,Bye,Bye,Kansas City Chiefs,,,
8,9,November 6,Tennessee Titans,W 20–17 (OT),6–2,Arrowhead Stadium,Recap,Kansas City Chiefs,58 °F (14 °C),7:20 p.m. CST,"Arrowhead Stadium, Kansas City, Missouri"
9,10,November 13,Jacksonville Jaguars,W 27–17,7–2,Arrowhead Stadium,Recap,Kansas City Chiefs,33 °F (1 °C),12:00 p.m. CST,"Arrowhead Stadium, Kansas City, Missouri"
10,11,November 20,at Los Angeles Chargers,W 30–27,8–2,SoFi Stadium,Recap,Kansas City Chiefs,67 °F (19 °C),7:20 p.m. CST/5:20 p.m. PST,"SoFi Stadium, Inglewood, California"
11,12,November 27,Los Angeles Rams,W 26–10,9–2,Arrowhead Stadium,Recap,Kansas City Chiefs,44 °F (7 °C),3:25 p.m. CST,"Arrowhead Stadium, Kansas City, Missouri"
12,13,December 4,at Cincinnati Bengals,L 24–27,9–3,Paycor Stadium,Recap,Kansas City Chiefs,"Sunny, 41 °F (5 °C)",3:25 p.m. CST/4:25 p.m. EST,"Paycor Stadium, Cincinnati, Ohio"
13,14,December 11,at Denver Broncos,W 34–28,10–3,Empower Field at Mile High,Recap,Kansas City Chiefs,"Sunny, 62 °F (17 °C)",3:05 p.m. CST/2:05 p.m. MST,"Empower Field Mile High, Denver, Colorado"
14,15,December 18,at Houston Texans,W 30–24 (OT),11–3,NRG Stadium,Recap,Kansas City Chiefs,None (retractable roof closed),12:00 p.m. CST,"NRG Stadium, Houston, Texas"
15,16,December 24,Seattle Seahawks,W 24–10,12–3,Arrowhead Stadium,Recap,Kansas City Chiefs,12 °F (−11 °C),12:00 p.m. CST,"Arrowhead Stadium, Kansas City, Missouri"
16,17,January 1,Denver Broncos,W 27–24,13–3,Arrowhead Stadium,Recap,Kansas City Chiefs,53 °F (12 °C),12:00 p.m. CST,"Arrowhead Stadium, Kansas City, Missouri"
17,18,January 7,at Las Vegas Raiders,W 31–13,14–3,Allegiant Stadium,Recap,Kansas City Chiefs,None (indoor stadium),3:30 p.m. CST/1:30 p.m. PST,"Allegiant Stadium, Paradise, Nevada"
