,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,at Los Angeles Chargers,L 19–24,0–1,SoFi Stadium,Recap,Las Vegas Raiders,None (retractable roof closed),1:25 p.m. PDT,"SoFi Stadium, Inglewood, California"
1,2,September 18,Arizona Cardinals,L 23–29 (OT),0–2,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),1:25 p.m. PDT,"Allegiant Stadium, Paradise, Nevada"
2,3,September 25,at Tennessee Titans,L 22–24,0–3,Nissan Stadium,Recap,Las Vegas Raiders,"Cloudy, 77 °F (25 °C)",12:00 p.m. CDT/10:00 a.m. PDT,"Nissan Stadium, Nashville, Tennessee"
3,4,October 2,Denver Broncos,W 32–23,1–3,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),1:25 p.m. PDT,"Allegiant Stadium, Paradise, Nevada"
4,5,October 10,at Kansas City Chiefs,L 29–30,1–4,Arrowhead Stadium,Recap,Las Vegas Raiders,"Cloudy, 77 °F (25 °C)",7:15 p.m. CDT/5:15 p.m. PDT,"Arrowhead Stadium, Kansas City, Missouri"
5,6,Bye,Bye,Bye,Bye,Bye,Bye,Las Vegas Raiders,,,
6,7,October 23,Houston Texans,W 38–20,2–4,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),1:05 p.m. PDT,"Allegiant Stadium, Paradise, Nevada"
7,8,October 30,at New Orleans Saints,L 0–24,2–5,Caesars Superdome,Recap,Las Vegas Raiders,None (indoor stadium),12:00 p.m. CDT/10:00 a.m. PDT,"Caesars Superdome, New Orleans, Louisiana"
8,9,November 6,at Jacksonville Jaguars,L 20–27,2–6,TIAA Bank Field,Recap,Las Vegas Raiders,81 °F (27 °C),1:00 p.m. EST/10:00 a.m. PST,"TIAA Bank Field, Jacksonville, Florida"
9,10,November 13,Indianapolis Colts,L 20–25,2–7,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),1:05 p.m. PST,"Allegiant Stadium, Paradise, Nevada"
10,11,November 20,at Denver Broncos,W 22–16 (OT),3–7,Empower Field at Mile High,Recap,Las Vegas Raiders,"Sunny, 46 °F (8 °C)",2:05 p.m. MST/1:05 p.m. PST,"Empower Field Mile High, Denver, Colorado"
11,12,November 27,at Seattle Seahawks,W 40–34 (OT),4–7,Lumen Field,Recap,Las Vegas Raiders,"Partly cloudy, 45 °F (7 °C)",1:05 p.m. PST,"Lumen Field, Seattle, Washington"
12,13,December 4,Los Angeles Chargers,W 27–20,5–7,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),1:25 p.m. PST,"Allegiant Stadium, Paradise, Nevada"
13,14,December 8,at Los Angeles Rams,L 16–17,5–8,SoFi Stadium,Recap,Las Vegas Raiders,"Clear, 57 °F (14 °C)",5:15 p.m. PST,"SoFi Stadium, Inglewood, California"
14,15,December 18,New England Patriots,W 30–24,6–8,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),1:05 p.m. PST,"Allegiant Stadium, Paradise, Nevada"
15,16,December 24,at Pittsburgh Steelers,L 10–13,6–9,Acrisure Stadium,Recap,Las Vegas Raiders,"Cold, 8 °F (−13 °C)",8:15 p.m. EST/5:15 p.m. PST,"Acrisure Stadium, Pittsburgh, Pennsylvania"
16,17,January 1,San Francisco 49ers,L 34–37 (OT),6–10,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),1:05 p.m. PST,"Allegiant Stadium, Paradise, Nevada"
17,18,January 7,Kansas City Chiefs,L 13–31,6–11,Allegiant Stadium,Recap,Las Vegas Raiders,None (indoor stadium),1:30 p.m. PST,"Allegiant Stadium, Paradise, Nevada"
