,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,Las Vegas Raiders,W 24–19,1–0,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),1:25 p.m. PDT,"SoFi Stadium, Inglewood, California"
1,2,September 15,at Kansas City Chiefs,L 24–27,1–1,Arrowhead Stadium,Recap,Los Angeles Chargers,81 °F (27 °C),7:15 p.m. CDT/5:15 p.m. PDT,"Arrowhead Stadium, Kansas City, Missouri"
2,3,September 25,Jacksonville Jaguars,L 10–38,1–2,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),1:05 p.m. PDT,"SoFi Stadium, Inglewood, California"
3,4,October 2,at Houston Texans,W 34–24,2–2,NRG Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),12:00 p.m. CDT/10:00 a.m. PDT,"NRG Stadium, Houston, Texas"
4,5,October 9,at Cleveland Browns,W 30–28,3–2,FirstEnergy Stadium,Recap,Los Angeles Chargers,"Sunny, 59 °F (15 °C)",1:00 p.m. EDT/10:00 a.m. PDT,"FirstEnergy Stadium, Cleveland, Ohio"
5,6,October 17,Denver Broncos,W 19–16 (OT),4–2,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),5:15 p.m. PDT,"SoFi Stadium, Inglewood, California"
6,7,October 23,Seattle Seahawks,L 23–37,4–3,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),1:25 p.m. PDT,"SoFi Stadium, Inglewood, California"
7,8,Bye,Bye,Bye,Bye,Bye,Bye,Los Angeles Chargers,,,
8,9,November 6,at Atlanta Falcons,W 20–17,5–3,Mercedes-Benz Stadium,Recap,Los Angeles Chargers,"Cloudy, 80 °F (27 °C) (retractable roof open)",1:00 p.m. EST/10:00 a.m. PST,"Mercedes-Benz Stadium, Atlanta, Georgia"
9,10,November 13,at San Francisco 49ers,L 16–22,5–4,Levi's Stadium,Recap,Los Angeles Chargers,"Clear, 58 °F (14 °C)",5:20 p.m. PST,"Levi's Stadium, Santa Clara, California"
10,11,November 20,Kansas City Chiefs,L 27–30,5–5,SoFi Stadium,Recap,Los Angeles Chargers,67 °F (19 °C),5:20 p.m. PST,"SoFi Stadium, Inglewood, California"
11,12,November 27,at Arizona Cardinals,W 25–24,6–5,State Farm Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),2:05 p.m. MST/1:05 p.m. PST,"State Farm Stadium, Glendale, Arizona"
12,13,December 4,at Las Vegas Raiders,L 20–27,6–6,Allegiant Stadium,Recap,Los Angeles Chargers,None (indoor stadium),1:25 p.m. PST,"Allegiant Stadium, Paradise, Nevada"
13,14,December 11,Miami Dolphins,W 23–17,7–6,SoFi Stadium,Recap,Los Angeles Chargers,53 °F (12 °C),5:20 p.m. PST,"SoFi Stadium, Inglewood, California"
14,15,December 18,Tennessee Titans,W 17–14,8–6,SoFi Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),1:25 p.m. PST,"SoFi Stadium, Inglewood, California"
15,16,December 26,at Indianapolis Colts,W 20–3,9–6,Lucas Oil Stadium,Recap,Los Angeles Chargers,None (retractable roof closed),8:15 p.m. EST/5:15 p.m. PST,"Lucas Oil Stadium, Indianapolis, Indiana"
16,17,January 1,Los Angeles Rams,W 31–10,10–6,SoFi Stadium,Recap,Los Angeles Chargers,"Cloudy, 62 °F (17 °C)",1:25 p.m. PST,"SoFi Stadium, Inglewood, California"
17,18,January 8,at Denver Broncos,L 28–31,10–7,Empower Field at Mile High,Recap,Los Angeles Chargers,"Partly cloudy, 51 °F (11 °C)",2:25 p.m. MST/1:25 p.m. PST,"Empower Field Mile High, Denver, Colorado"
