,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather_condition,temp_f,time,city,state
0,1,September 11,at Miami Dolphins,L 7–20,0–1,Hard Rock Stadium,Recap,New England Patriots,Partly cloudy,92,12:0,Miami Gardens,Florida
1,2,September 18,at Pittsburgh Steelers,W 17–14,1–1,Acrisure Stadium,Recap,New England Patriots,Mostly cloudy,81,12:0,Pittsburgh,Pennsylvania
2,3,September 25,Baltimore Ravens,L 26–37,1–2,Gillette Stadium,Recap,New England Patriots,Mostly cloudy,66,12:0,Foxborough,Massachusetts
3,4,October 2,at Green Bay Packers,L 24–27 (OT),1–3,Lambeau Field,Recap,New England Patriots,Sunny,66,15:25,Green Bay,Wisconsin
4,5,October 9,Detroit Lions,W 29–0,2–3,Gillette Stadium,Recap,New England Patriots,Sunny,58,12:0,Foxborough,Massachusetts
5,6,October 16,at Cleveland Browns,W 38–15,3–3,FirstEnergy Stadium,Recap,New England Patriots,Sunny,62,12:0,Cleveland,Ohio
6,7,October 24,Chicago Bears,L 14–33,3–4,Gillette Stadium,Recap,New England Patriots,Foggy,56,19:15,Foxborough,Massachusetts
7,8,October 30,at New York Jets,W 22–17,4–4,MetLife Stadium,Recap,New England Patriots,Mostly sunny,59,12:0,East Rutherford,New Jersey
8,9,November 6,Indianapolis Colts,W 26–3,5–4,Gillette Stadium,Recap,New England Patriots,Mostly cloudy,75,13:0,Foxborough,Massachusetts
9,10,Bye,Bye,Bye,Bye,Bye,Bye,New England Patriots,,,,,
10,11,November 20,New York Jets,W 10–3,6–4,Gillette Stadium,Recap,New England Patriots,Mostly sunny,37,13:0,Foxborough,Massachusetts
11,12,November 24,at Minnesota Vikings,L 26–33,6–5,U.S. Bank Stadium,Recap,New England Patriots,None (indoor stadium),72,20:20,Minneapolis,Minnesota
12,13,December 1,Buffalo Bills,L 10–24,6–6,Gillette Stadium,Recap,New England Patriots,Clear,35,20:15,Foxborough,Massachusetts
13,14,December 12,at Arizona Cardinals,W 27–13,7–6,State Farm Stadium,Recap,New England Patriots,None (retractable roof closed),72,20:15,Glendale,Arizona
14,15,December 18,at Las Vegas Raiders,L 24–30,7–7,Allegiant Stadium,Recap,New England Patriots,None (indoor stadium),72,16:5,Paradise,Nevada
15,16,December 24,Cincinnati Bengals,L 18–22,7–8,Gillette Stadium,Recap,New England Patriots,Sunny,17,13:0,Foxborough,Massachusetts
16,17,January 1,Miami Dolphins,W 23–21,8–8,Gillette Stadium,Recap,New England Patriots,Partly cloudy,51,13:0,Foxborough,Massachusetts
17,18,January 8,at Buffalo Bills,L 23–35,8–9,Highmark Stadium,Recap,New England Patriots,Cloudy,31,13:0,Orchard Park,New York
