,Week,Date,Opponent,Result,Record,Venue,Recap,Unnamed: 7,Unnamed: 8,team,weather,time,location
0,1,September 11,at Tennessee Titans,W 21–20,1–0,Nissan Stadium,Recap,,,New York Giants,"Cloudy, 75 °F (24 °C)",4:25 p.m. EDT/3:25 p.m. CDT,"Nissan Stadium, Nashville, Tennessee"
1,2,September 18,Carolina Panthers,W 19–16,2–0,MetLife Stadium,Recap,,,New York Giants,"Fair, 73 °F (23 °C)",1:00 p.m. EDT,"MetLife Stadium, East Rutherford, New Jersey"
2,3,September 26,Dallas Cowboys,L 16–23,2–1,MetLife Stadium,Recap,,,New York Giants,"Fair, 66 °F (19 °C)",8:15 p.m. EDT,"MetLife Stadium, East Rutherford, New Jersey"
3,4,October 2,Chicago Bears,W 20–12,3–1,MetLife Stadium,Recap,,,New York Giants,"Overcast, 58 °F (14 °C)",1:00 p.m. EDT,"MetLife Stadium, East Rutherford, New Jersey"
4,5,October 9,at Green Bay Packers,W 27–22,4–1,Tottenham Hotspur Stadium (London),Recap,,,New York Giants,"Sunny, 64 °F (18 °C)",2:30 p.m. BST/9:30 a.m. EDT,"Tottenham Hotspur Stadium, London, England"
5,6,October 16,Baltimore Ravens,W 24–20,5–1,MetLife Stadium,Recap,,,New York Giants,"Fair, 60 °F (16 °C)",1:00 p.m. EDT,"MetLife Stadium, East Rutherford, New Jersey"
6,7,October 23,at Jacksonville Jaguars,W 23–17,6–1,TIAA Bank Field,Recap,,,New York Giants,"Sunny, 71 °F (22 °C)",1:00 p.m. EDT,"TIAA Bank Field, Jacksonville, Florida"
7,8,October 30,at Seattle Seahawks,L 13–27,6–2,Lumen Field,Recap,,,New York Giants,"Rain, 54 °F (12 °C)",4:25 p.m. EDT/1:25 p.m. PDT,"Lumen Field, Seattle, Washington"
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Bye,Bye,New York Giants,,,
9,10,November 13,Houston Texans,W 24–16,7–2,MetLife Stadium,Recap,,,New York Giants,"Partly sunny, 50 °F (10 °C)",1:00 p.m. EST,"MetLife Stadium, East Rutherford, New Jersey"
10,11,November 20,Detroit Lions,L 18–31,7–3,MetLife Stadium,Recap,,,New York Giants,"Fair and breezy, 35 °F (2 °C)",1:00 p.m. EST,"MetLife Stadium, East Rutherford, New Jersey"
11,12,November 24,at Dallas Cowboys,L 20–28,7–4,AT&T Stadium,Recap,,,New York Giants,None (retractable roof closed),4:30 p.m. EST/3:30 p.m. CST,"AT&T Stadium, Arlington, Texas"
12,13,December 4,Washington Commanders,T 20–20 (OT),7–4–1,MetLife Stadium,Recap,,,New York Giants,"Fair, 44 °F (7 °C)",1:00 p.m. EST,"MetLife Stadium, East Rutherford, New Jersey"
13,14,December 11,Philadelphia Eagles,L 22–48,7–5–1,MetLife Stadium,Recap,,,New York Giants,"Overcast, 37 °F (3 °C)",1:00 p.m. EST,"MetLife Stadium, East Rutherford, New Jersey"
14,15,December 18,at Washington Commanders,W 20–12,8–5–1,FedEx Field,Recap,,,New York Giants,"Cloudy, 34 °F (1 °C)",8:20 p.m. EST,"FedExField, Landover, Maryland"
15,16,December 24,at Minnesota Vikings,L 24–27,8–6–1,U.S. Bank Stadium,Recap,,,New York Giants,None (indoor stadium),1:00 p.m. EST/12:00 p.m. CST,"U.S. Bank Stadium, Minneapolis, Minnesota"
16,17,January 1,Indianapolis Colts,W 38–10,9–6–1,MetLife Stadium,Recap,,,New York Giants,"Fair, 53 °F (12 °C)",1:00 p.m. EST,"MetLife Stadium, East Rutherford, New Jersey"
17,18,January 8,at Philadelphia Eagles,L 16–22,9–7–1,Lincoln Financial Field,Recap,,,New York Giants,"Partly cloudy, 42 °F (6 °C)",4:25 p.m. EST,"Lincoln Financial Field, Philadelphia, Pennsylvania"
