,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,at Cincinnati Bengals,W 23–20 (OT),1–0,Paycor Stadium,Recap,Pittsburgh Steelers,"Cloudy, 76 °F (24 °C)",1:00 p.m. EDT,"Paycor Stadium, Cincinnati, Ohio"
1,2,September 18,New England Patriots,L 14–17,1–1,Acrisure Stadium,Recap,Pittsburgh Steelers,"Mostly cloudy, 81 °F (27 °C)",1:00 p.m. EDT,"Acrisure Stadium, Pittsburgh, Pennsylvania"
2,3,September 22,at Cleveland Browns,L 17–29,1–2,FirstEnergy Stadium,Recap,Pittsburgh Steelers,"Cloudy, 60 °F (16 °C)",8:15 p.m. EDT,"FirstEnergy Stadium, Cleveland, Ohio"
3,4,October 2,New York Jets,L 20–24,1–3,Acrisure Stadium,Recap,Pittsburgh Steelers,"Cloudy, 58 °F (14 °C)",1:00 p.m. EDT,"Acrisure Stadium, Pittsburgh, Pennsylvania"
4,5,October 9,at Buffalo Bills,L 3–38,1–4,Highmark Stadium,Recap,Pittsburgh Steelers,"Mostly cloudy, 55 °F (13 °C)",1:00 p.m. EDT,"Highmark Stadium, Orchard Park, New York"
5,6,October 16,Tampa Bay Buccaneers,W 20–18,2–4,Acrisure Stadium,Recap,Pittsburgh Steelers,"Cloudy, 62 °F (17 °C)",1:00 p.m. EDT,"Acrisure Stadium, Pittsburgh, Pennsylvania"
6,7,October 23,at Miami Dolphins,L 10–16,2–5,Hard Rock Stadium,Recap,Pittsburgh Steelers,"Partly cloudy, 78 °F (26 °C)",8:20 p.m. EDT,"Hard Rock Stadium, Miami Gardens, Florida"
7,8,October 30,at Philadelphia Eagles,L 13–35,2–6,Lincoln Financial Field,Recap,Pittsburgh Steelers,"Sunny, 61 °F (16 °C)",1:00 p.m. EDT,"Lincoln Financial Field, Philadelphia, Pennsylvania"
8,9,Bye,Bye,Bye,Bye,Bye,Bye,Pittsburgh Steelers,,,
9,10,November 13,New Orleans Saints,W 20–10,3–6,Acrisure Stadium,Recap,Pittsburgh Steelers,"Cloudy, 41 °F (5 °C)",1:00 p.m. EST,"Acrisure Stadium, Pittsburgh, Pennsylvania"
10,11,November 20,Cincinnati Bengals,L 30–37,3–7,Acrisure Stadium,Recap,Pittsburgh Steelers,"Mostly sunny, 32 °F (0 °C)",4:25 p.m. EST,"Acrisure Stadium, Pittsburgh, Pennsylvania"
11,12,November 28,at Indianapolis Colts,W 24–17,4–7,Lucas Oil Stadium,Recap,Pittsburgh Steelers,None (retractable roof closed),8:15 p.m. EST,"Lucas Oil Stadium, Indianapolis, Indiana"
12,13,December 4,at Atlanta Falcons,W 19–16,5–7,Mercedes-Benz Stadium,Recap,Pittsburgh Steelers,None (retractable roof closed),1:00 p.m. EST,"Mercedes-Benz Stadium, Atlanta, Georgia"
13,14,December 11,Baltimore Ravens,L 14–16,5–8,Acrisure Stadium,Recap,Pittsburgh Steelers,"Cloudy, 43 °F (6 °C)",1:00 p.m. EST,"Acrisure Stadium, Pittsburgh, Pennsylvania"
14,15,December 18,at Carolina Panthers,W 24–16,6–8,Bank of America Stadium,Recap,Pittsburgh Steelers,"Sunny, 46 °F (8 °C)",1:00 p.m. EST,"Bank of America Stadium, Charlotte, North Carolina"
15,16,December 24,Las Vegas Raiders,W 13–10,7–8,Acrisure Stadium,Recap,Pittsburgh Steelers,"Cold, 8 °F (−13 °C)",8:15 p.m. EST,"Acrisure Stadium, Pittsburgh, Pennsylvania"
16,17,January 1,at Baltimore Ravens,W 16–13,8–8,M&T Bank Stadium,Recap,Pittsburgh Steelers,"Clear, 50 °F (10 °C)",8:20 p.m. EST,"M&T Bank Stadium, Baltimore, Maryland"
17,18,January 8,Cleveland Browns,W 28–14,9–8,Acrisure Stadium,Recap,Pittsburgh Steelers,"Partly cloudy, 39 °F (4 °C)",1:00 p.m. EST,"Acrisure Stadium, Pittsburgh, Pennsylvania"
