,Week,Date,Opponent,Result,Record,Venue,Recap,team,weather,time,location
0,1,September 11,at Dallas Cowboys,W 19–3,1–0,AT&T Stadium,Recap,Tampa Bay Buccaneers,None (retractable roof closed),8:20 p.m. EDT/7:20 p.m. CDT,"AT&T Stadium, Arlington, Texas"
1,2,September 18,at New Orleans Saints,W 20–10,2–0,Caesars Superdome,Recap,Tampa Bay Buccaneers,None (indoor stadium),1:00 p.m. EDT/12:00 p.m. CDT,"Caesars Superdome, New Orleans, Louisiana"
2,3,September 25,Green Bay Packers,L 12–14,2–1,Raymond James Stadium,Recap,Tampa Bay Buccaneers,"Cloudy, 88 °F (31 °C)",4:25 p.m. EDT,"Raymond James Stadium, Tampa, Florida"
3,4,October 2,Kansas City Chiefs,L 31–41,2–2,Raymond James Stadium,Recap,Tampa Bay Buccaneers,"Clear, 75 °F (24 °C)",8:20 p.m. EDT,"Raymond James Stadium, Tampa, Florida"
4,5,October 9,Atlanta Falcons,W 21–15,3–2,Raymond James Stadium,Recap,Tampa Bay Buccaneers,"Clear, 83 °F (28 °C)",1:00 p.m. EDT,"Raymond James Stadium, Tampa, Florida"
5,6,October 16,at Pittsburgh Steelers,L 18–20,3–3,Acrisure Stadium,Recap,Tampa Bay Buccaneers,"Cloudy, 62 °F (17 °C)",1:00 p.m. EDT,"Acrisure Stadium, Pittsburgh, Pennsylvania"
6,7,October 23,at Carolina Panthers,L 3–21,3–4,Bank of America Stadium,Recap,Tampa Bay Buccaneers,"Sunny, 67 °F (19 °C)",1:00 p.m. EDT,"Bank of America Stadium, Charlotte, North Carolina"
7,8,October 27,Baltimore Ravens,L 22–27,3–5,Raymond James Stadium,Recap,Tampa Bay Buccaneers,"Cloudy, 79 °F (26 °C)",8:15 p.m. EDT,"Raymond James Stadium, Tampa, Florida"
8,9,November 6,Los Angeles Rams,W 16–13,4–5,Raymond James Stadium,Recap,Tampa Bay Buccaneers,"Cloudy, 88 °F (31 °C)",4:25 p.m. EST,"Raymond James Stadium, Tampa, Florida"
9,10,November 13,Seattle Seahawks,W 21–16,5–5,Allianz Arena (Munich),Recap,Tampa Bay Buccaneers,"Sunny, 48 °F (9 °C)",3:30 p.m. CET/9:30 a.m. EST,"Allianz Arena, Munich, Germany"
10,11,Bye,Bye,Bye,Bye,Bye,Bye,Tampa Bay Buccaneers,,,
11,12,November 27,at Cleveland Browns,L 17–23 (OT),5–6,FirstEnergy Stadium,Recap,Tampa Bay Buccaneers,"Rain, 56 °F (13 °C)",1:00 p.m. EST,"FirstEnergy Stadium, Cleveland, Ohio"
12,13,December 5,New Orleans Saints,W 17–16,6–6,Raymond James Stadium,Recap,Tampa Bay Buccaneers,"Cloudy, 72 °F (22 °C)",8:15 p.m. EST,"Raymond James Stadium, Tampa, Florida"
13,14,December 11,at San Francisco 49ers,L 7–35,6–7,Levi's Stadium,Recap,Tampa Bay Buccaneers,"Cloudy, 54 °F (12 °C)",4:25 p.m. EST/1:25 p.m. PST,"Levi's Stadium, Santa Clara, California"
14,15,December 18,Cincinnati Bengals,L 23–34,6–8,Raymond James Stadium,Recap,Tampa Bay Buccaneers,"Clear, 67 °F (19 °C)",4:25 p.m. EST,"Raymond James Stadium, Tampa, Florida"
15,16,December 25,at Arizona Cardinals,W 19–16 (OT),7–8,State Farm Stadium,Recap,Tampa Bay Buccaneers,"Clear, 69 °F (21 °C) (retractable roof open)",8:20 p.m. EST/6:20 p.m. MST,"State Farm Stadium, Glendale, Arizona"
16,17,January 1,Carolina Panthers,W 30–24,8–8,Raymond James Stadium,Recap,Tampa Bay Buccaneers,"Cloudy, 73 °F (23 °C)",1:00 p.m. EST,"Raymond James Stadium, Tampa, Florida"
17,18,January 8,at Atlanta Falcons,L 17–30,8–9,Mercedes-Benz Stadium,Recap,Tampa Bay Buccaneers,None (retractable roof closed),1:00 p.m. EST,"Mercedes-Benz Stadium, Atlanta, Georgia"
